Id,Name,Price,Old_price,Category,State,Delivery_price,Dicount_Percentage
9834172302,MĘSKA BLUZA SPORTOWA ASICS SZARA 2031A0355-021,149.0,199.0,Allegro Sport i turystyka Bieganie Odzież,Nowy ASICS XL,0.0,0
6730449698,PODSPODENKI DAMSKIE SPODENKI DO BIEGANIA XS/S,79.0,99.0,Allegro Sport i turystyka Bieganie Odzież,Nowy inna XS/S,87.0,0
9104600373,SPÓDNICZKA SPORTOWA ZE SPODENKAMI NESSI,189.0,329.0,Allegro Sport i turystyka Bieganie Odzież,Nowy XS niebieski,197.0,0
9738994581,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
9836346621,4F KOMINIARKA MICRO'POLAR KOMU066 POD KASK CIEPŁA,23.8,27.9,Allegro Sport i turystyka Bieganie Odzież,Nowy 4F S/M,29.7,0
8764003387,SKARPETY TERMOAKTYWNE ULTRARUN PRO NESSI,26.9,39.9,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi 35-37 za kostkę,34.9,0
9832655795,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
9832846001,OPASKA NA GŁOWĘ DO BIEGANIA TERMOAKTYWNA NESSI,50.0,69.0,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi M/L,58.0,0
8763998498,SKARPETY TERMOAKTYWNE ULTRARUN PRO NESSI,26.9,39.9,Allegro Sport i turystyka Bieganie Odzież,Nowy Nessi 45-47 za kostkę,34.9,0
9697646350,KOMIN wielofunkcyjny COMBAT kominiarka MASKA szal,49.99,99.99,Allegro Sport i turystyka Bieganie Odzież,Nowy Combat,57.99,50
9839276287,CEP Kolanówki Skarpety Męskie Kompresyjne III,149.0,179.99,Allegro Sport i turystyka Bieganie Odzież,Nowy Cep M podkolanówki,157.6,0
